temperatureMax,temperatureMaxTime,windBearing,icon,dewPoint,temperatureMinTime,cloudCover,windSpeed,pressure,apparentTemperatureMinTime,apparentTemperatureHigh,precipType,visibility,humidity,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureMax,uvIndex,time,sunsetTime,temperatureLow,temperatureMin,temperatureHigh,sunriseTime,temperatureHighTime,uvIndexTime,summary,temperatureLowTime,apparentTemperatureMin,apparentTemperatureMaxTime,apparentTemperatureLowTime,moonPhase
11.96,11-11-11 23:00,123,fog,9.4,11-11-11 7:00,0.79,3.88,1016.08,11-11-11 7:00,10.87,rain,3.3,0.95,11-11-11 19:00,10.87,11.96,1,11-11-11 0:00,11-11-11 16:19,10.87,8.85,10.87,11-11-11 7:12,11-11-11 19:00,11-11-11 11:00,Foggy until afternoon.,11-11-11 19:00,6.48,11-11-11 23:00,11-11-11 19:00,0.52
8.59,11-12-11 14:00,198,partly-cloudy-day,4.49,11-12-11 1:00,0.56,3.94,1007.71,11-12-11 2:00,5.62,rain,12.09,0.88,11-12-11 19:00,-0.64,5.72,1,11-12-11 0:00,11-12-11 15:52,3.09,2.48,8.59,11-12-11 7:57,11-12-11 14:00,11-12-11 12:00,Partly cloudy throughout the day.,12-12-11 7:00,0.11,11-12-11 20:00,12-12-11 8:00,0.53
10.33,27-12-11 2:00,225,partly-cloudy-day,5.47,27-12-11 23:00,0.85,3.54,1032.76,27-12-11 22:00,10.33,rain,13.39,0.74,27-12-11 14:00,5.52,10.33,0,27-12-11 0:00,27-12-11 15:57,8.03,8.03,10.33,27-12-11 8:07,27-12-11 14:00,27-12-11 0:00,Mostly cloudy throughout the day.,27-12-11 23:00,5.59,27-12-11 2:00,28-12-11 0:00,0.1
8.07,02-12-11 23:00,232,wind,3.69,02-12-11 7:00,0.32,3,1012.12,02-12-11 7:00,5.33,rain,11.89,0.87,02-12-11 12:00,3.26,5.33,1,02-12-11 0:00,02-12-11 15:56,6.33,2.56,7.36,02-12-11 7:46,02-12-11 12:00,02-12-11 10:00,Partly cloudy throughout the day and breezy overnight.,02-12-11 19:00,0.46,02-12-11 12:00,02-12-11 19:00,0.25
8.22,24-12-11 23:00,252,partly-cloudy-night,2.79,24-12-11 7:00,0.37,4.46,1028.17,24-12-11 7:00,5.02,rain,13.16,0.8,24-12-11 15:00,4.37,5.32,1,24-12-11 0:00,24-12-11 15:55,7.45,3.17,7.93,24-12-11 8:06,24-12-11 15:00,24-12-11 13:00,Mostly cloudy throughout the day.,24-12-11 19:00,-0.51,24-12-11 23:00,24-12-11 20:00,0.99
7.97,15-12-11 14:00,234,wind,2.41,15-12-11 0:00,0.42,4.71,996.75,15-12-11 0:00,4.25,rain,12.79,0.77,15-12-11 14:00,-2.58,4.38,1,15-12-11 0:00,15-12-11 15:52,1.8,4.08,7.97,15-12-11 8:00,15-12-11 14:00,15-12-11 11:00,Partly cloudy throughout the day and breezy in the morning.,16-12-11 8:00,1.07,15-12-11 21:00,16-12-11 8:00,0.66
13.19,19-11-11 14:00,117,fog,8.12,19-11-11 23:00,0.26,2.37,1016.8,19-11-11 8:00,13.19,rain,6.63,0.92,19-11-11 14:00,4.76,13.19,1,19-11-11 0:00,19-11-11 16:08,4.76,7.48,13.19,19-11-11 7:26,19-11-11 14:00,19-11-11 10:00,Foggy starting in the evening.,20-11-11 8:00,5.98,19-11-11 14:00,20-11-11 8:00,0.79
8.32,16-11-11 23:00,117,fog,5.58,16-11-11 7:00,0.81,2.36,1017.4,16-11-11 4:00,6.64,rain,3.69,0.93,16-11-11 14:00,4.68,7.14,1,16-11-11 0:00,16-11-11 16:12,6.93,5.19,8.18,16-11-11 7:20,16-11-11 14:00,16-11-11 11:00,Foggy starting in the evening.,16-11-11 19:00,2.93,16-11-11 23:00,16-11-11 19:00,0.68
9.82,12-12-11 23:00,221,wind,4.1,12-12-11 7:00,0.38,5.02,1002.47,12-12-11 8:00,5.18,rain,12.05,0.84,12-12-11 16:00,2.71,5.94,1,12-12-11 0:00,12-12-11 15:52,6.88,3.09,8.53,12-12-11 7:58,12-12-11 19:00,12-12-11 11:00,Partly cloudy throughout the day and breezy starting in the evening.,13-12-11 8:00,-0.64,12-12-11 23:00,13-12-11 8:00,0.56
9.71,20-11-11 14:00,115,fog,6.62,20-11-11 8:00,0.41,1.24,1018.82,20-11-11 8:00,9.54,rain,2.64,0.96,20-11-11 15:00,5.95,9.54,1,20-11-11 0:00,20-11-11 16:07,7.1,4.76,9.71,20-11-11 7:27,20-11-11 14:00,20-11-11 10:00,Foggy in the morning.,21-11-11 2:00,4.76,20-11-11 15:00,21-11-11 1:00,0.82
11.31,08-11-11 0:00,101,fog,9.12,08-11-11 9:00,0.83,2.4,1014.61,08-11-11 8:00,10.57,rain,4.31,0.92,08-11-11 16:00,9.11,11.31,1,08-11-11 0:00,08-11-11 16:24,9.73,9.37,10.57,08-11-11 7:06,08-11-11 16:00,08-11-11 10:00,Foggy in the morning.,08-11-11 21:00,7.85,08-11-11 0:00,08-11-11 21:00,0.43
9.11,04-12-11 13:00,254,partly-cloudy-day,4.87,04-12-11 23:00,0.36,4.31,1001.15,04-12-11 23:00,6.66,rain,13.36,0.82,04-12-11 14:00,-1.69,6.66,1,04-12-11 0:00,04-12-11 15:55,2.81,4.69,9.11,04-12-11 7:48,04-12-11 13:00,04-12-11 10:00,Partly cloudy until evening.,05-12-11 8:00,1.03,04-12-11 14:00,05-12-11 8:00,0.31
4.68,16-12-11 0:00,315,partly-cloudy-day,1.6,16-12-11 8:00,0.7,3.71,988.1,16-12-11 10:00,0.23,rain,10.96,0.88,16-12-11 15:00,-3.56,0.99,1,16-12-11 0:00,16-12-11 15:52,0.24,1.8,4.53,16-12-11 8:01,16-12-11 15:00,16-12-11 11:00,Mostly cloudy throughout the day.,17-12-11 8:00,-2.65,16-12-11 0:00,17-12-11 8:00,0.7
