ID,ACORN_Category,ACORN_Code
MAC000002,Affluent Achievers,A
MAC003613,Affluent Achievers,A
MAC003597,Affluent Achievers,A
MAC003579,Affluent Achievers,A
MAC003566,Affluent Achievers,A
MAC003557,Affluent Achievers,A
MAC003553,Affluent Achievers,A
MAC003482,Affluent Achievers,A
MAC003463,Affluent Achievers,A
MAC003449,Affluent Achievers,A
MAC003428,Affluent Achievers,A
MAC003423,Affluent Achievers,A
MAC003422,Affluent Achievers,A
MAC003400,Affluent Achievers,A
MAC003394,Affluent Achievers,A
MAC003388,Affluent Achievers,A
MAC003348,Affluent Achievers,A
MAC000246,Affluent Achievers,A
MAC003305,Affluent Achievers,A
MAC003281,Affluent Achievers,A
MAC003252,Affluent Achievers,A
MAC003239,Affluent Achievers,A
MAC003646,Affluent Achievers,A
MAC003656,Affluent Achievers,A
MAC003668,Affluent Achievers,A
MAC003680,Affluent Achievers,A
MAC004431,Affluent Achievers,A
MAC004387,Affluent Achievers,A
MAC004319,Affluent Achievers,A
MAC004247,Affluent Achievers,A
MAC004179,Affluent Achievers,A
MAC004034,Affluent Achievers,A
MAC003874,Affluent Achievers,A
MAC003863,Affluent Achievers,A
MAC003856,Affluent Achievers,A
MAC003851,Affluent Achievers,A
MAC003223,Affluent Achievers,A
MAC003844,Affluent Achievers,A
MAC003826,Affluent Achievers,A
MAC003817,Affluent Achievers,A
MAC003805,Affluent Achievers,A
MAC003775,Affluent Achievers,A
MAC003740,Affluent Achievers,A
MAC003737,Affluent Achievers,A
MAC003719,Affluent Achievers,A
MAC003718,Affluent Achievers,A
MAC003686,Affluent Achievers,A
MAC000450,Affluent Achievers,A
MAC003840,Affluent Achievers,A
MAC003212,Affluent Achievers,A
MAC003182,Affluent Achievers,A
MAC003166,Affluent Achievers,A
MAC001628,Affluent Achievers,A
MAC001533,Affluent Achievers,A
MAC001528,Affluent Achievers,A
MAC001510,Affluent Achievers,A
MAC001271,Affluent Achievers,A
MAC001251,Affluent Achievers,A
MAC001239,Affluent Achievers,A
MAC001145,Affluent Achievers,A
MAC000974,Affluent Achievers,A
MAC000948,Affluent Achievers,A
MAC001689,Affluent Achievers,A
MAC000902,Affluent Achievers,A
MAC000850,Affluent Achievers,A
MAC000816,Affluent Achievers,A
MAC000778,Affluent Achievers,A
MAC000379,Affluent Achievers,A
MAC000768,Affluent Achievers,A
MAC000713,Affluent Achievers,A
MAC000386,Affluent Achievers,A
MAC000569,Affluent Achievers,A
MAC000557,Affluent Achievers,A
MAC000535,Affluent Achievers,A
MAC000886,Affluent Achievers,A
MAC004529,Affluent Achievers,A
MAC001710,Affluent Achievers,A
MAC001776,Affluent Achievers,A
MAC003110,Affluent Achievers,A
MAC003072,Affluent Achievers,A
MAC002937,Affluent Achievers,A
MAC002924,Affluent Achievers,A
MAC002813,Affluent Achievers,A
MAC002628,Affluent Achievers,A
MAC002613,Affluent Achievers,A
MAC002601,Affluent Achievers,A
MAC002563,Affluent Achievers,A
MAC002562,Affluent Achievers,A
MAC001734,Affluent Achievers,A
MAC002314,Affluent Achievers,A
MAC002249,Affluent Achievers,A
MAC002150,Affluent Achievers,A
MAC002068,Affluent Achievers,A
MAC000323,Affluent Achievers,A
MAC002025,Affluent Achievers,A
MAC001989,Affluent Achievers,A
MAC001893,Affluent Achievers,A
MAC001843,Affluent Achievers,A
MAC001836,Affluent Achievers,A
MAC001819,Affluent Achievers,A
MAC002260,Affluent Achievers,A
MAC004554,Affluent Achievers,A
MAC003683,Affluent Achievers,A
MAC003257,Affluent Achievers,A
