ID,ACORN_Category
MAC000002,Affluent Achievers
MAC003613,Affluent Achievers
MAC003597,Affluent Achievers
MAC003579,Affluent Achievers
MAC003566,Affluent Achievers
MAC003557,Affluent Achievers
MAC003553,Affluent Achievers
MAC003482,Affluent Achievers
MAC003463,Affluent Achievers
MAC003449,Affluent Achievers
MAC003428,Affluent Achievers
MAC003423,Affluent Achievers
MAC003422,Affluent Achievers
MAC003400,Affluent Achievers
MAC003394,Affluent Achievers
MAC003388,Affluent Achievers
MAC003348,Affluent Achievers
MAC000246,Affluent Achievers
MAC003305,Affluent Achievers
MAC003281,Affluent Achievers
MAC003252,Affluent Achievers
MAC003239,Affluent Achievers
MAC003646,Affluent Achievers
MAC003656,Affluent Achievers
MAC003668,Affluent Achievers
MAC003680,Affluent Achievers
MAC004431,Affluent Achievers
MAC004387,Affluent Achievers
MAC004319,Affluent Achievers
MAC004247,Affluent Achievers
MAC004179,Affluent Achievers
MAC004034,Affluent Achievers
MAC003874,Affluent Achievers
MAC003863,Affluent Achievers
MAC003856,Affluent Achievers
MAC003851,Affluent Achievers
MAC003223,Affluent Achievers
MAC003844,Affluent Achievers
MAC003826,Affluent Achievers
MAC003817,Affluent Achievers
MAC003805,Affluent Achievers
MAC003775,Affluent Achievers
MAC003740,Affluent Achievers
MAC003737,Affluent Achievers
MAC003719,Affluent Achievers
MAC003718,Affluent Achievers
MAC003686,Affluent Achievers
MAC000450,Affluent Achievers
MAC003840,Affluent Achievers
MAC003212,Affluent Achievers
MAC003182,Affluent Achievers
MAC003166,Affluent Achievers
MAC001628,Affluent Achievers
MAC001533,Affluent Achievers
MAC001528,Affluent Achievers
MAC001510,Affluent Achievers
MAC001271,Affluent Achievers
MAC001251,Affluent Achievers
MAC001239,Affluent Achievers
MAC001145,Affluent Achievers
MAC000974,Affluent Achievers
MAC000948,Affluent Achievers
MAC001689,Affluent Achievers
MAC000902,Affluent Achievers
MAC000850,Affluent Achievers
MAC000816,Affluent Achievers
MAC000778,Affluent Achievers
MAC000379,Affluent Achievers
MAC000768,Affluent Achievers
MAC000713,Affluent Achievers
MAC000386,Affluent Achievers
MAC000569,Affluent Achievers
MAC000557,Affluent Achievers
MAC000535,Affluent Achievers
MAC000886,Affluent Achievers
MAC004529,Affluent Achievers
MAC001710,Affluent Achievers
MAC001776,Affluent Achievers
MAC003110,Affluent Achievers
MAC003072,Affluent Achievers
MAC002937,Affluent Achievers
MAC002924,Affluent Achievers
MAC002813,Affluent Achievers
MAC002628,Affluent Achievers
MAC002613,Affluent Achievers
MAC002601,Affluent Achievers
MAC002563,Affluent Achievers
MAC002562,Affluent Achievers
MAC001734,Affluent Achievers
MAC002314,Affluent Achievers
MAC002249,Affluent Achievers
MAC002150,Affluent Achievers
MAC002068,Affluent Achievers
MAC000323,Affluent Achievers
MAC002025,Affluent Achievers
MAC001989,Affluent Achievers
MAC001893,Affluent Achievers
MAC001843,Affluent Achievers
MAC001836,Affluent Achievers
MAC001819,Affluent Achievers
MAC002260,Affluent Achievers
MAC004554,Affluent Achievers
MAC003683,Affluent Achievers
MAC003257,Affluent Achievers
MAC000464,Affluent Achievers
MAC000339,Affluent Achievers
MAC004872,Affluent Achievers
MAC005523,Affluent Achievers
MAC004054,Affluent Achievers
MAC000103,Affluent Achievers
MAC000487,Affluent Achievers
MAC004258,Affluent Achievers
